Month,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1225489,-,-,-,40.53,-74.58,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,Degrees,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
January,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Relative Humidity,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1,1,0,30,0,0,0,1,94.56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1,1,1,30,0,0,0,0,92.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1,1,2,30,0,0,0,0,97.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1,1,3,30,0,0,0,0,96.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1,1,4,30,0,0,0,0,94.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1,1,5,30,0,0,0,0,93.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1,1,6,30,0,0,0,0,92.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1,1,7,30,0,0,0,0,92.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1,1,8,30,62,35,68,0,92.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
